Data set,Best solution,Generation,CrossoverStrategy,Time
fl417,460121.17638902896,100,CrossoverStrategy.ERX,711.2629029750824
fl417,454962.8311883597,100,CrossoverStrategy.ERX,722.7069072723389
fl417,453298.3438832166,100,CrossoverStrategy.ERX,717.4962468147278
fl417,452404.2685096152,100,CrossoverStrategy.ERX,717.9083859920502
fl417,450780.9433737042,100,CrossoverStrategy.ERX,714.3129870891571
fl417,449285.2985421608,100,CrossoverStrategy.ERX,462.534569978714
fl417,448355.7961683987,100,CrossoverStrategy.ERX,714.410994052887
fl417,446759.0513225114,100,CrossoverStrategy.ERX,715.0960109233856
fl417,445646.8595840061,100,CrossoverStrategy.ERX,450.7045900821686
fl417,441248.71986593946,100,CrossoverStrategy.ERX,627.5137510299683
kroA200,311609.1842130497,100,CrossoverStrategy.ERX,115.33251309394836
kroA200,309938.59298848687,100,CrossoverStrategy.ERX,114.3226969242096
kroA200,300879.63688532764,100,CrossoverStrategy.ERX,114.45009398460388
kroA200,300509.67932401184,100,CrossoverStrategy.ERX,114.81599521636964
kroA200,299655.1786594173,100,CrossoverStrategy.ERX,113.69331288337708
kroA200,298488.3879770894,100,CrossoverStrategy.ERX,114.6646978855133
kroA200,298146.2634309672,100,CrossoverStrategy.ERX,115.06049180030824
kroA200,297003.2581255883,100,CrossoverStrategy.ERX,116.2426769733429
kroA200,296530.8694971671,100,CrossoverStrategy.ERX,114.31104803085329
kroA200,294805.17376644805,100,CrossoverStrategy.ERX,115.07483172416688
kroA150,234620.3278232427,100,CrossoverStrategy.ERX,58.75361895561218
kroA150,228284.47284310823,100,CrossoverStrategy.ERX,59.07393288612366
kroA150,226657.9892999656,100,CrossoverStrategy.ERX,6115.210057258606
kroA150,226242.2605584252,100,CrossoverStrategy.ERX,59.01647400856018
kroA150,225372.7497116331,100,CrossoverStrategy.ERX,58.3359808921814
kroA150,222567.17943687164,100,CrossoverStrategy.ERX,59.82232975959778
kroA150,220163.8718285176,100,CrossoverStrategy.ERX,59.995063066482544
kroA150,217683.57124978505,100,CrossoverStrategy.ERX,60.705458879470825
kroA150,215664.12015006988,100,CrossoverStrategy.ERX,58.85399508476257
kroA150,214628.15234657927,100,CrossoverStrategy.ERX,58.19313192367554
kroA100,148462.95561148727,100,CrossoverStrategy.ERX,14.771546840667725
kroA100,147866.57674582524,100,CrossoverStrategy.ERX,14.67562222480774
kroA100,147418.24926398008,100,CrossoverStrategy.ERX,14.84686279296875
kroA100,147000.13842202368,100,CrossoverStrategy.ERX,14.84511685371399
kroA100,145682.79531062394,100,CrossoverStrategy.ERX,14.57621693611145
kroA100,144967.05382280683,100,CrossoverStrategy.ERX,14.63277792930603
kroA100,144266.94663315924,100,CrossoverStrategy.ERX,14.78241801261902
kroA100,143644.7236652569,100,CrossoverStrategy.ERX,14.95978021621704
kroA100,142007.2041476016,100,CrossoverStrategy.ERX,14.856368064880373
kroA100,141271.800272243,100,CrossoverStrategy.ERX,23.871850967407227
kroA100,140526.70923999985,100,CrossoverStrategy.ERX,14.75247311592102
gr666,55652.079997204346,100,CrossoverStrategy.ERX,1587.538403749466
gr666,54476.50209808176,100,CrossoverStrategy.ERX,1626.5557930469513
berlin52,24793.351894859297,100,CrossoverStrategy.ERX,3.9794321060180655
berlin52,24311.194517324457,100,CrossoverStrategy.ERX,3.9272539615631104
berlin52,24239.983392146783,100,CrossoverStrategy.ERX,3.810880899429321
berlin52,24056.95250491973,100,CrossoverStrategy.ERX,3.92284893989563
berlin52,24028.639304373704,100,CrossoverStrategy.ERX,3.8869550228118896
berlin52,23911.455915774684,100,CrossoverStrategy.ERX,3.889920949935913
berlin52,23901.34140671065,100,CrossoverStrategy.ERX,3.7840421199798575
berlin52,23418.5958340879,100,CrossoverStrategy.ERX,3.785454273223877
berlin52,22935.35963090625,100,CrossoverStrategy.ERX,3.795992851257324
