Data set,Best solution,Generation,CrossoverStrategy,Strategy,Time
fl417,446449.0708698412,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,28.81080913543701
fl417,445332.1163324657,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,28.63943982124329
fl417,445292.31417350937,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,28.596052169799805
fl417,444737.92149670736,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,29.12476587295532
fl417,443132.668191013,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,28.612853050231934
kroA200,300879.1012648235,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.6772301197052
kroA200,298492.9130645937,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.437915086746216
kroA200,298164.1406706324,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.467957973480225
kroA200,296782.4479322784,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.502928018569946
kroA200,296118.6170517993,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.466891050338745
kroA200,295834.3246082174,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.541424989700317
kroA200,295304.6185913484,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.464203596115112
kroA200,294847.71339566546,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.746121168136597
kroA200,293358.7220088492,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.736148118972778
kroA200,292650.00625034014,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,8.753852844238281
kroA150,226293.0169682198,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,6.060291767120361
kroA150,225116.8279206052,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,5.944523811340332
kroA150,224954.8209538561,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,5.86912989616394
kroA150,223889.29397192792,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,6.224974155426025
kroA150,222779.48338732155,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,5.890336990356445
kroA150,222774.30780669776,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,5.774787187576294
kroA150,221199.5452434804,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,6.212829828262329
kroA150,216837.517142072,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,5.745220899581909
kroA150,213732.63307596176,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,6.084367275238037
kroA150,213136.82002219665,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,5.726948022842407
kroA100,146837.3933497204,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.667023181915283
kroA100,144987.13183548392,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.681464672088623
kroA100,144891.15615981555,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.678312063217163
kroA100,142347.23902088747,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.6637680530548096
kroA100,141789.2745462553,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.6687769889831534
kroA100,141528.20379868057,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.671387910842896
kroA100,140533.15594105923,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.676900148391724
kroA100,140431.99697890427,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.70198392868042
kroA100,136443.90413214863,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.7234079837799072
kroA100,135038.76354037353,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,3.682426929473877
gr666,54992.89771322685,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,67.76726794242859
gr666,54865.59825572305,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,70.28972387313843
gr666,54552.65725305012,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,68.29383301734924
gr666,54253.23022893484,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,68.4556839466095
gr666,54149.89307672344,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,68.25252294540405
berlin52,24939.836092147776,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.370896816253662
berlin52,24502.38776644353,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.39212703704834
berlin52,24357.16204081713,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.356451988220215
berlin52,24321.78196690528,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.351285934448242
berlin52,24163.43840802176,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.3751330375671387
berlin52,24153.977542142875,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.362435817718506
berlin52,24137.83076591746,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.3642098903656006
berlin52,23916.10511258754,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.3520500659942627
berlin52,23403.514930801128,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.37080192565918
berlin52,23157.32476811675,100,CrossoverStrategy.OX,SelectionStrategy.ROULETTE,2.368738889694214
